DateTime;Price;Text;return_2min;Rank
2017-03-24 09:26:00 UTC;17,252;model 3 was going to be called model e, for obvious dumb humor reasons, but ford sued to block it, so now it is s3x. totally different :);-0,001507072;1
2017-03-24 09:28:00 UTC;17,226;@luciojr all tesla cars built since oct last year will be capable of self-driving as software improves;0,000574713;0
2017-03-24 09:30:00 UTC;17,2359;@varunfatehpuria oh model y is coming too in a few years. kinda have to.;0,002280125;1
2017-03-24 09:32:00 UTC;17,2752;@theken_miller sorta. model 3 is like a bmw 3 series or audi a4. model s is like bmw 5 and 6 series, but much faster, more storage space + autopilot;0,000104196;0
2017-03-24 09:35:00 UTC;17,2517;@skate_a_book yes. model s will always be the fastest tesla until next gen roadster, which is a few years away.;-0,000214472;0
2017-03-24 09:41:00 UTC;17,2667;@fredericlambert @jimpengelly no, we are minimizing configuration complexity to keep the production ramp on schedule. rwd only for early production, just like model s.;0,001610036;0
2017-03-24 09:45:00 UTC;17,276;@asimo3089 how about the video we just took of the first model 3 release candidate drive?;0,000156286;0
2017-03-24 09:52:00 UTC;17,3107;first drive of a release candidate version of model 3 {url};-0,000271508;0
2017-03-24 10:09:00 UTC;17,3575;@camkode the model s produced today is arguably version 4. let me put it this way: it is the car i will keep driving even after model 3 arrives.;-0,000881463;0
2017-03-24 10:12:00 UTC;17,362;@akawrecks @ckalapala only model s will have the seven seater option, more cargo space, plus higher range, acceleration, two screens vs one, auto extend handles â¦;-4,03179E-05;0
2017-03-24 12:25:00 UTC;17,4313;@kryniog the shorter wheelbase only allows for a 75 kwh pack in model 3 at current cell/module energy densities;0,000613838;0
2017-03-28 11:04:00 UTC;18,614;@business glad to have tencent as an investor and advisor to tesla;0,001756742;0
2017-03-28 11:14:00 UTC;18,6507;@danahull very few. we have yet to do a china (or europe) launch of model 3.;0,000139405;0
2017-03-31 13:18:00 UTC;18,6041;@tesla_addict @teslamotors working on it;-0,000720271;0
2017-04-07 10:36:00 UTC;20,085;feature coming soon that allows one touch access to all discovered tesla easter eggs {url};0,000164302;0
2017-04-12 13:20:00 UTC;19,84;autolist survey finds tesla used car values are highest and sell fastest {url};0,003175403;1
2017-04-13 11:51:00 UTC;19,9239;tesla semi truck unveil set for september. team has done an amazing job. seriously next level.;0,004256195;1
2017-05-10 13:44:00 UTC;21,6296;slo-mo hail cannonball impacting tesla solar roof tile {url};-1,38699E-05;0
2017-06-05 11:39:00 UTC;23,0029;@rolandscahill @teslamotors wearing anything at all is just a conspiracy by the capitalist running dogs of big underwear;-0,000152155;0
2017-06-05 11:44:00 UTC;22,995;@thestaceyroy @teslamotors california cabernet;0,000865406;0
2017-06-06 11:42:00 UTC;23,8327;tesla shareholder meeting today. can't believe it's been 1000 years since we went public. {url};0,00031889;0
2017-06-08 13:05:00 UTC;24,54;try the new tesla dj station on streaming radio;-0,001548492;1
2017-06-08 13:08:00 UTC;24,494;@philwhln it's on the car. might add it to the tesla app at some point, so you get it on your phone if you have a powerwall or tesla solar.;0,001090063;0
2017-06-08 13:10:00 UTC;24,5207;in the us, you can ask your tesla to play any monty python (or other comedy) skit. doesn't work outside us yet.;0,000513852;0
2017-06-11 13:23:00 UTC;23,866;@electrekco @teslaroadtrip hw2 autopilot release should go wide next weekend with additional smoothness improvements to longitudinal control;0;0
2017-06-13 09:28:00 UTC;24,5827;us govt testing by @nhtsagov finds model x to be the safest suv in history by significant margin {url};8,1358E-05;0
2017-06-17 13:31:00 UTC;24,7367;"tesla service rescues a kitten stuck in the bumper 
{url}
{url}";0;0
2017-07-02 11:51:00 UTC;24,6827;@janeidyeve @arstechnica @teslamotors @spacex suggestions welcome!;0;0
2017-07-02 13:40:00 UTC;24,6827;@cristian_miuta @teslamotors norway is awesome;0;0
2017-07-17 13:12:00 UTC;21,308;"i should clarify: tesla stock is obviously high based on past &amp; present, but low if you believe in tesla's future. place bets accordingly â¦ {url}";0,000905763;0
2017-07-17 13:56:00 UTC;21,2743;"@aylaberan true. need to explain full story of tesla. so much nonsense out there, amplified by propaganda from some in fossil fuels &amp; confused shorts.";0,000173919;0
2017-07-22 11:31:00 UTC;21,8917;@voltzcoreaudio @andygen21 @teslarati a 9m diameter vehicle fits in our existing factories ...;0;0
2017-07-30 11:00:00 UTC;22,3667;model 3 interior {url};0;0
2017-07-30 11:15:00 UTC;22,3667;"@cunarders model 3 uses two intersecting planes of air for vertical control &amp; lateral fins hidden within the dashboard for horizontal control";0;0
2017-07-30 13:11:00 UTC;22,3667;@skynetcomputer yeah, it's better than a model 3. we can put a lot more in a car at a higher price.;0;0
2017-07-31 09:48:00 UTC;21,9957;thoughtful model 3 review by @tsrandall, one of the most insightful journalists {url};-0,000200039;0
2017-08-05 13:44:00 UTC;23,7893;officially verified as the first production electric car to exceed 1000km on a single charge! congratulations tesla owners italia!! {url};0;0
2017-08-21 11:20:00 UTC;22,1752;watching eclipse with sunglasses on through the model s glass roof. wow!;0,001118366;0
2017-08-23 11:43:00 UTC;23,1733;new model x suv now faster than a $500k lamborghini {url};0,001346377;0
2017-08-30 09:16:00 UTC;23,192;@nickg_uk @model3owners feature coming soon;0,00065971;0
2017-10-06 10:03:00 UTC;23,545;"@ismailnathij @stapf @tesla tesla always charges the same price for a powerwall (only taxes &amp; shipping costs vary), so something is messed up here. i've asked my team to stop shipment to any installers charging excessive premiums.";0,000637078;0
2017-10-06 10:15:00 UTC;23,5753;"@ismailnathij @stapf @tesla the internal tesla powerwall install team in pr is very small right now. sending experienced installers from continental us to hire &amp; train local team as fast as possible.";-0,000110285;0
2017-10-06 12:57:00 UTC;23,8907;"@mactechgenius @jon4lakers @solarcity @tesla not good. sounds like some 3rd party installers are taking advantage of powerwall demand &gt;&gt; supply. taking action â¦";0,000632045;0
2017-10-12 10:40:00 UTC;23,8573;"@barnacules to be more inclusive, how about a ""pick your tech level"" setting. could make the tesla sound like horses (coconuts!), chariots, steam engines, gasoline cars, ...";0,000280836;0
2017-12-21 09:34:00 UTC;21,8307;glad to see that tesla owners are having a good experience. working to improve further. some cool software updates coming soon. {url};0,002239965;1
2017-12-26 11:46:00 UTC;21,3567;"wanted again to send a note of deep gratitude to tesla owners ww for taking a chance on a new company that all experts said would fail. 

so much blood, sweat &amp; tears from the tesla team went into creating cars that youâd truly love. i hope you do.

how can we improve further?";-0,000313719;0
2017-12-26 11:51:00 UTC;21,3393;@vanseedbank i promise that we will make a pickup truck right after model y. have had the core design/engineering elements in my mind for almost 5 years. am dying to build it.;-0,000374895;0
2017-12-26 12:51:00 UTC;21,2173;@iamsamcrompton sustainable energy production with solar and batteries will grow much faster than auto on a percentage basis. that will be a big focus next year, with primary remaining model 3 ramp.;0,000348772;0
2017-12-26 12:57:00 UTC;21,2287;@jason @tesla sure;0,000287347;0
2018-01-09 12:37:00 UTC;22,426;@mister_millard @tesla that sounds cool. will do.;-0,000566307;0
2018-01-29 12:29:00 UTC;23,1773;@josephhuberman @tesla coming soon;-0,000371053;0
2018-02-02 11:44:00 UTC;23,1227;@theteslashow early access build and especially dev build are feature-rich, but the features arenât reliable enough yet;0,000142717;0
2018-03-07 12:54:00 UTC;21,59;@futurecars360 @tesla will have model x do a cover of happy birthday by marilyn monroe {url};0,001574803;0
2018-03-07 13:23:00 UTC;21,616;first production cargo trip of the tesla semi heavy duty truck, carrying battery packs from theâ¦ {url};0,001850481;1
