Tweet_Tidspunkt;Forventet_Avkastning;Faktisk_Avkastning;Unormal_Avkastning;Total_Unormal_Avkastning;Lopenummer;Text;Rank
2019-06-19 12:17:00 UTC;0,00047629;-0,000729433;-0,001205724;-0,009890403;2;starting next month, tesla will charge $1000 for color black (same price as silver);-1
2019-06-21 11:01:00 UTC;0,000299304;-0,000876418;-0,001175722;-0,003684202;2;@tmornini @tesla no, weâÄôre already recycling them;-1
2019-07-16 11:23:00 UTC;-1,03843E-05;0,001067173;0,001077557;0,000655531;2;as mentioned earlier this year, cost of the tesla fsd option will increase every few months. those who buy it earlier will see the benefit.;1
2019-08-01 11:59:00 UTC;0,000350044;0,00254611;0,002196066;-0,007232324;2;@teslaclubin @yashwanthnadal for other countries, we pay in part for the local factory by selling cars there ahead of time. also, gives a sense of demand. current rules in india prevent that, but recent changes in sales tax give hope for future changes.;1
2019-08-23 10:01:00 UTC;-0,000375864;0,000673193;0,001049057;0,009552197;2;@minimalduck @tesla @teslarati ok;1
2019-09-11 08:09:00 UTC;0,000490216;0,001981765;0,001491548;0,004129034;2;@teslaownerssv @flcnhvy @nichegamer of course;1
2019-09-16 10:43:00 UTC;0,000315377;-0,000686425;-0,001001802;-0,001954838;2;@kristennetten @evafoxu @justpaulinelol @teslaownerssv @model3owners i want this t-shirt!;-1
2019-09-17 10:12:00 UTC;6,14202E-05;-0,000810706;-0,000872126;0,000453414;2;@zainraz4 @teslarati no, original 5 forward facing seats plus 2 rear-facing smaller seats. the new rear seats will accommodate larger passengers than before.;-1
2019-09-17 10:13:00 UTC;0,000307139;-0,000626905;-0,000934044;-0,001801373;2;@justpaulinelol @teslarati new roadster and x will come later;-1
2019-09-17 10:28:00 UTC;-0,000328247;0,001135022;0,001463269;0,001525174;2;@flcnhvy @elonaccessories @teslaownerssv @teslarati you never know âÄ_;1
2019-09-24 13:55:00 UTC;-0,000591899;0,000979866;0,001571765;0,001964578;2;"@teslarati this includes original engineering of new factory processes &amp; cars. great engineers will only join if original engineering is supported, not just localization.";1
