Tweet_Tidspunkt,Forventet_Avkastning,Faktisk_Avkastning,Unormal_Avkastning,Lopenummer,Text,Rank
2014-12-19 09:40:00 UTC,"6,10133E-05",0,"-6,10133E-05",1,pack swap now operating in limited beta mode for sf to la route can swap battery faster than visiting a gas station tesla blog out soon,0
2014-12-19 13:07:00 UTC,"0,000139974","0,000504632","0,000364658",1,tesla fast battery swap details ,0
2014-12-30 14:46:00 UTC,"-4,98792E-05","0,000970109","0,001019988",1,model s range curves in detail by version ,0
2015-01-23 10:40:00 UTC,"0,000148544","-0,000944378","-0,001092922",1,elonmusk  in honor of imb rip,0
2015-01-29 14:33:00 UTC,"3,82757E-05","-0,00160747","-0,001645746",1,tesla p85d 0 to 60mph acceleration will improve by 01 sec soon via overtheair software update to inverter algorithm,0
2015-01-29 14:41:00 UTC,"7,70272E-05","0,000320515","0,000243488",1,tesla dual motor cars are also allwheel drive main goal of dual motor was actually insane traction on snow insane speed was a side effect,0
2015-03-30 10:35:00 UTC,"0,000114576","0,011264758","0,011150182",1,major new tesla product line  not a car  will be unveiled at our hawthorne design studio on thurs 8pm april 30,1
2015-04-06 10:17:00 UTC,"-6,27027E-05","0,00063328","0,000695983",1,welcome chiefboltkennyh to teslamotors he will apply formula 1 techniques to revolutionize servicing mainstream cars,0
2015-04-09 10:22:00 UTC,"0,000164105","3,60472E-05","-0,000128057",1,"testing of the high performance version of the tesla model s by consumerreports
",0
2015-05-01 11:08:00 UTC,"-5,47373E-05","-0,000495924","-0,000441187",1,for more info on tesla energy check out press kit 250kwh for utility scale is the real kicker ,0
2015-05-12 09:23:00 UTC,"-0,000101861","1,83978E-05","0,000120259",1,teslap85d that is true if someone says they are thinking about having kids i always encourage them to do so,0
2015-06-15 10:22:00 UTC,"9,89687E-05","0,000361461","0,000262492",1,spacextesla will also do a reference pod to be shown after the hyperloop competition bonus for all racing teams that exceed reference,0
2015-06-23 09:20:00 UTC,"0,00013226","0,000305487","0,000173227",1,important to note that model s resale value is also higher than that of gasoline cars,0
2015-07-17 09:30:00 UTC,"0,000113887","-0,002185399","-0,002299286",1,model s product call at 11 today rocket discussion at noon on monday,0
2015-08-06 11:48:00 UTC,"0,000112649","0,001908769","0,00179612",1,tesla snakebot autocharger prototype does seem kinda wrong  ,0
2015-12-18 14:30:00 UTC,"-3,7971E-06","0,000652005","0,000655802",1,elonmusk holding for issue resolution,0
2016-02-23 14:48:00 UTC,"0,000119215","0,000732323","0,000613108",1,romclocko teslamotors coming later this year,0
2016-03-31 09:47:00 UTC,"5,61367E-05","0,000387579","0,000331443",1,incredibly inspired by the interest in model 3 you wont be disappointed also small token of appreciation coming for those who lined up,0
2016-04-01 10:11:00 UTC,"-0,000242409","0,002189693","0,002432102",1,model 3 orders at 180000 in 24 hours selling price w avg option mix prob 42k so 75b in a day future of electric cars looking bright,0
2016-04-01 11:23:00 UTC,"8,1756E-05","0,003568697","0,003486941",1,thought it would slow way down today but model 3 order count is now at 198k recommend ordering soon as the wait time is growing rapidly,1
